site_id,x_m,y_m,z_m,yaw_deg,pitch_deg,mount_type,enabled,source,selected
wall_Blok_N_00_00,102.8657487554232,64.14388891560827,1.5,-46.75908118774982,-10.0,facade,True,wall_metadata,False
wall_Blok_N_00_01,87.49761930625002,49.691586922473114,1.5,-46.75908118774982,-10.0,facade,True,wall_metadata,True
wall_Blok_F_00_00,43.982314955945576,-95.97075850234066,1.5,-89.44853471919495,-10.0,facade,True,wall_metadata,True
wall_Blok_F_00_01,20.398273558837143,-96.19775919503695,1.5,-89.44853471919495,-10.0,facade,True,wall_metadata,True
wall_Blok_F_02_01,32.850628589500914,-89.41081389894936,1.5,64.66336262160466,-10.0,facade,True,wall_metadata,True
wall_Blok_P_00_00,18.640529392241856,-64.59942245712723,1.5,-25.792159582879258,-10.0,facade,True,wall_metadata,True
wall_Blok_P_00_01,10.716760202292829,-80.996252029929,1.5,-25.792159582879258,-10.0,facade,True,wall_metadata,True
wall_Blok_P_03_00,6.538401540589299,-96.33110864261408,1.5,-89.44902810477458,-10.0,facade,True,wall_metadata,True
wall_Blok_P_03_01,-12.261692731563993,-96.51190106674785,1.5,-89.44902810477458,-10.0,facade,True,wall_metadata,True
wall_Blok_P_03_02,-31.06178700371729,-96.69269349088162,1.5,-89.44902810477458,-10.0,facade,True,wall_metadata,False
wall_Blok_P_04_01,-22.41196614046231,-71.79826468282613,1.5,154.19578062279822,-10.0,facade,True,wall_metadata,True
wall_Blok_P_04_02,-11.840700472906361,-49.93466044227354,1.5,154.19578062279822,-10.0,facade,True,wall_metadata,True
wall_Blok_B_00_00,-79.57176541786711,75.886264743679,1.5,-46.97307532589684,-10.0,facade,True,wall_metadata,True
wall_Blok_B_03_00,-91.50393403399154,77.40693646816646,1.5,-136.83033265663886,-10.0,facade,True,wall_metadata,True
wall_Blok_B_03_01,-105.89623502221356,92.74944918394527,1.5,-136.83033265663886,-10.0,facade,True,wall_metadata,False
wall_Blok_B_04_01,-83.48839232841586,95.59164416341197,1.5,90.55021528779652,-10.0,facade,True,wall_metadata,False
wall_Blok_B_04_02,-62.207860037299724,95.7960088520224,1.5,90.55021528779652,-10.0,facade,True,wall_metadata,True
wall_Blok_H_00_00,-60.19705994590919,-8.620982435823093,1.5,25.05595657993746,-10.0,facade,True,wall_metadata,True
wall_Blok_H_01_01,-55.683579838985935,-21.17076038272672,1.5,15.395109680556102,-10.0,facade,True,wall_metadata,True
wall_Blok_H_02_01,-65.84575414895676,-44.23516504324114,1.5,-28.689063217875535,-10.0,facade,True,wall_metadata,True
wall_Blok_H_04_01,-84.51000287285112,-54.914487637877265,1.5,-65.42985333207497,-10.0,facade,True,wall_metadata,True
wall_Blok_H_05_01,-96.3193039207495,-36.74551855361836,1.5,-155.6050667147694,-10.0,facade,True,wall_metadata,True
wall_Blok_H_07_00,-87.29249896908755,-28.75281327010382,1.5,115.96099163614309,-10.0,facade,True,wall_metadata,True
wall_Blok_H_08_00,-75.65491575390116,-20.026709148626445,1.5,-154.30171003632367,-10.0,facade,True,wall_metadata,True
wall_Blok_E_00_01,73.60669725489421,51.45270118696065,1.5,-47.72194562595205,-10.0,facade,True,wall_metadata,False
