window_index,start_time_s,end_time_s,ap_id,x_m,y_m,z_m,source
0,0.0,55.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
1,60.0,115.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
2,120.0,175.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
3,180.0,235.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
4,240.0,295.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
5,300.0,355.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
6,360.0,415.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
7,420.0,475.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
8,480.0,535.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
9,540.0,595.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
10,600.0,655.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
11,660.0,715.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
12,720.0,775.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
13,780.0,835.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
14,840.0,895.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
15,900.0,955.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
16,960.0,1015.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
17,1020.0,1075.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
18,1080.0,1135.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
19,1140.0,1195.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
20,1200.0,1255.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
21,1260.0,1315.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
22,1320.0,1375.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
23,1380.0,1435.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
24,1440.0,1495.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
25,1500.0,1555.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
26,1560.0,1615.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
27,1620.0,1675.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
28,1680.0,1735.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
29,1740.0,1795.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
30,1800.0,1855.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
31,1860.0,1915.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
32,1920.0,1975.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
33,1980.0,2035.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
34,2040.0,2095.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
35,2100.0,2155.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
36,2160.0,2215.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
37,2220.0,2275.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
38,2280.0,2335.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
39,2340.0,2395.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
40,2400.0,2455.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
41,2460.0,2515.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
42,2520.0,2575.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
43,2580.0,2635.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
44,2640.0,2695.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
45,2700.0,2755.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
46,2760.0,2815.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
47,2820.0,2875.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
48,2880.0,2935.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
49,2940.0,2995.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
50,3000.0,3055.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
51,3060.0,3115.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
52,3120.0,3175.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
53,3180.0,3235.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
54,3240.0,3295.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
55,3300.0,3355.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
56,3360.0,3415.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
57,3420.0,3475.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
58,3480.0,3535.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
59,3540.0,3595.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
60,3600.0,3600.0,central_ap_01,-10.69973556713559,-14.315614351537079,13.5,selected:roof_Blok_A
