window_index,start_time_s,end_time_s,ap_id,x_m,y_m,z_m,source
0,0.0,50.0,movable_ap_01,-11.840700472906361,-49.93466044227354,1.5,relocated:wall_Blok_P_04_02
0,0.0,50.0,movable_ap_02,1.1866547619989385,-33.35389843852655,1.5,relocated:wall_Blok_A_06_00
0,0.0,50.0,movable_ap_03,10.716760202292829,-80.996252029929,1.5,relocated:wall_Blok_P_00_01
0,0.0,50.0,movable_ap_04,6.538401540589299,-96.33110864261408,1.5,relocated:wall_Blok_P_03_00
0,0.0,50.0,movable_ap_05,-26.672258844451243,-59.44880325642098,1.5,relocated:wall_Blok_G_10_00
0,0.0,50.0,movable_ap_06,18.640529392241856,-64.59942245712723,1.5,relocated:wall_Blok_P_00_00
1,60.0,110.0,movable_ap_01,68.15383408392938,-65.26029887498767,1.5,relocated:wall_building_452653879_12_01
1,60.0,110.0,movable_ap_02,89.24243247246369,-54.04578460666802,1.5,relocated:wall_building_452653873_00_00
1,60.0,110.0,movable_ap_03,94.24783132897797,-66.44004552961991,1.5,relocated:wall_building_452653892_02_01
1,60.0,110.0,movable_ap_04,32.850628589500914,-89.41081389894936,1.5,relocated:wall_Blok_F_02_01
1,60.0,110.0,movable_ap_05,18.640529392241856,-64.59942245712723,1.5,relocated:wall_Blok_P_00_00
1,60.0,110.0,movable_ap_06,109.125592381833,-53.402127401745574,1.5,relocated:wall_building_452653890_00_00
2,120.0,170.0,movable_ap_01,-52.93584624911099,46.528848108673564,1.5,relocated:wall_building_1413856798_10_01
2,120.0,170.0,movable_ap_02,-43.31363938210275,59.383527752887645,1.5,relocated:wall_building_1413856798_09_00
2,120.0,170.0,movable_ap_03,-33.6145433822281,-35.4641370329155,1.5,relocated:wall_Blok_G_02_01
2,120.0,170.0,movable_ap_04,-42.40803420681843,-22.429993801749294,1.5,relocated:wall_Blok_G_00_00
2,120.0,170.0,movable_ap_05,-60.19705994590919,-8.620982435823093,1.5,relocated:wall_Blok_H_00_00
2,120.0,170.0,movable_ap_06,5.756071545601453,81.83956379649034,1.5,relocated:wall_Blok_D_02_00
3,180.0,230.0,movable_ap_01,-52.50036525597238,82.49263188284579,1.5,relocated:wall_building_1413856798_04_00
3,180.0,230.0,movable_ap_02,-37.115328642390985,88.8280998814009,1.5,relocated:wall_building_1413856798_00_00
3,180.0,230.0,movable_ap_03,17.337276371432104,78.45245175211339,1.5,relocated:wall_Blok_E_07_02
3,180.0,230.0,movable_ap_04,-43.31363938210275,59.383527752887645,1.5,relocated:wall_building_1413856798_09_00
3,180.0,230.0,movable_ap_05,-57.295749202805055,69.2318939082275,1.5,relocated:wall_building_1413856798_06_00
3,180.0,230.0,movable_ap_06,-5.322817486656349,93.71104766968018,1.5,relocated:wall_Blok_D_02_01
4,240.0,290.0,movable_ap_01,-37.115328642390985,88.8280998814009,1.5,relocated:wall_building_1413856798_00_00
4,240.0,290.0,movable_ap_02,-5.322817486656349,93.71104766968018,1.5,relocated:wall_Blok_D_02_01
4,240.0,290.0,movable_ap_03,17.337276371432104,78.45245175211339,1.5,relocated:wall_Blok_E_07_02
4,240.0,290.0,movable_ap_04,-57.295749202805055,69.2318939082275,1.5,relocated:wall_building_1413856798_06_00
4,240.0,290.0,movable_ap_05,-79.57176541786711,75.886264743679,1.5,relocated:wall_Blok_B_00_00
4,240.0,290.0,movable_ap_06,5.756071545601453,81.83956379649034,1.5,relocated:wall_Blok_D_02_00
5,300.0,350.0,movable_ap_01,68.17445685078232,16.68361525304661,1.5,relocated:wall_Blok_M_00_01
5,300.0,350.0,movable_ap_02,83.05781691470568,0.7934614873968483,1.5,relocated:wall_Blok_M_00_00
5,300.0,350.0,movable_ap_03,107.7241810936943,-80.58829243877999,1.5,relocated:wall_building_452653892_00_00
5,300.0,350.0,movable_ap_04,89.24243247246369,-54.04578460666802,1.5,relocated:wall_building_452653873_00_00
5,300.0,350.0,movable_ap_05,68.15383408392938,-65.26029887498767,1.5,relocated:wall_building_452653879_12_01
5,300.0,350.0,movable_ap_06,95.70809990996455,-12.926250545613614,1.5,relocated:wall_Blok_L_1_00_00
6,360.0,410.0,movable_ap_01,83.05781691470568,0.7934614873968483,1.5,relocated:wall_Blok_M_00_00
6,360.0,410.0,movable_ap_02,95.70809990996455,-12.926250545613614,1.5,relocated:wall_Blok_L_1_00_00
6,360.0,410.0,movable_ap_03,94.24783132897797,-66.44004552961991,1.5,relocated:wall_building_452653892_02_01
