threshold_db,outage_fraction,mean_users_below_threshold,probability_any_user_below_threshold
-10.0,0.5737704918032787,5.737704918032787,1.0
-9.0,0.5737704918032787,5.737704918032787,1.0
-8.0,0.5737704918032787,5.737704918032787,1.0
-7.0,0.5754098360655737,5.754098360655738,1.0
-6.0,0.5868852459016394,5.868852459016393,1.0
-5.0,0.5967213114754099,5.967213114754099,1.0
-4.0,0.601639344262295,6.016393442622951,1.0
-3.0,0.601639344262295,6.016393442622951,1.0
-2.0,0.6065573770491803,6.065573770491803,1.0
-1.0,0.6131147540983607,6.131147540983607,1.0
0.0,0.6213114754098361,6.213114754098361,1.0
1.0,0.6262295081967213,6.262295081967213,1.0
2.0,0.6295081967213115,6.295081967213115,1.0
3.0,0.6426229508196721,6.426229508196721,1.0
4.0,0.6442622950819672,6.442622950819672,1.0
5.0,0.6459016393442623,6.459016393442623,1.0
6.0,0.6524590163934426,6.524590163934426,1.0
7.0,0.6639344262295082,6.639344262295082,1.0
8.0,0.6688524590163935,6.688524590163935,1.0
9.0,0.6688524590163935,6.688524590163935,1.0
10.0,0.6704918032786885,6.704918032786885,1.0
11.0,0.6737704918032786,6.737704918032787,1.0
12.0,0.680327868852459,6.80327868852459,1.0
13.0,0.6934426229508197,6.934426229508197,1.0
14.0,0.7114754098360656,7.114754098360656,1.0
15.0,0.7180327868852459,7.180327868852459,1.0
16.0,0.7311475409836066,7.311475409836065,1.0
17.0,0.7426229508196721,7.426229508196721,1.0
18.0,0.7524590163934426,7.524590163934426,1.0
19.0,0.7655737704918033,7.655737704918033,1.0
20.0,0.7737704918032787,7.737704918032787,1.0
