time_s,users_below_threshold
0.0,3
5.0,3
10.0,3
15.0,3
20.0,2
25.0,2
30.0,2
35.0,2
40.0,2
45.0,2
50.0,2
55.0,3
60.0,3
65.0,3
70.0,3
75.0,3
80.0,3
85.0,3
90.0,3
95.0,2
100.0,2
105.0,2
110.0,2
115.0,3
120.0,3
125.0,2
130.0,2
135.0,2
140.0,2
145.0,4
150.0,1
155.0,4
160.0,2
165.0,3
170.0,3
175.0,5
180.0,4
185.0,5
190.0,2
195.0,2
200.0,2
205.0,2
210.0,3
215.0,4
220.0,3
225.0,4
230.0,3
235.0,3
240.0,3
245.0,3
250.0,3
255.0,3
260.0,3
265.0,3
270.0,3
275.0,3
280.0,3
285.0,4
290.0,4
295.0,4
300.0,4
305.0,4
310.0,4
315.0,4
320.0,4
325.0,4
330.0,4
335.0,3
340.0,2
345.0,3
350.0,3
355.0,3
360.0,2
365.0,2
370.0,3
375.0,3
380.0,3
385.0,3
390.0,3
395.0,4
400.0,4
405.0,4
410.0,3
415.0,2
420.0,2
425.0,2
430.0,4
435.0,3
440.0,3
445.0,2
450.0,3
455.0,2
460.0,2
465.0,3
470.0,2
475.0,3
480.0,3
485.0,3
490.0,3
495.0,3
500.0,2
505.0,2
510.0,2
515.0,2
520.0,2
525.0,2
530.0,2
535.0,2
540.0,2
545.0,2
550.0,2
555.0,2
560.0,2
565.0,2
570.0,2
575.0,2
580.0,2
585.0,2
590.0,3
595.0,2
600.0,2
605.0,1
610.0,1
615.0,1
620.0,1
625.0,1
630.0,1
635.0,1
640.0,1
645.0,1
650.0,1
655.0,1
660.0,1
665.0,2
670.0,2
675.0,2
680.0,1
685.0,1
690.0,0
695.0,0
700.0,1
705.0,1
710.0,1
715.0,2
720.0,1
725.0,1
730.0,1
735.0,1
740.0,1
745.0,1
750.0,1
755.0,1
760.0,2
765.0,1
770.0,2
775.0,2
780.0,2
785.0,2
790.0,2
795.0,2
800.0,1
805.0,1
810.0,1
815.0,2
820.0,4
825.0,1
830.0,2
835.0,2
840.0,2
845.0,2
850.0,2
855.0,3
860.0,3
865.0,3
870.0,2
875.0,2
880.0,2
885.0,2
890.0,2
895.0,2
900.0,2
905.0,2
910.0,2
915.0,3
920.0,3
925.0,3
930.0,3
935.0,3
940.0,4
945.0,3
950.0,4
955.0,2
960.0,2
965.0,5
970.0,3
975.0,4
980.0,3
985.0,3
990.0,3
995.0,3
1000.0,3
1005.0,2
1010.0,1
1015.0,1
1020.0,1
1025.0,1
1030.0,1
1035.0,1
1040.0,1
1045.0,1
1050.0,1
1055.0,2
1060.0,2
1065.0,2
1070.0,1
1075.0,1
1080.0,1
1085.0,1
1090.0,1
1095.0,2
1100.0,2
1105.0,4
1110.0,1
1115.0,4
1120.0,3
1125.0,2
1130.0,3
1135.0,3
1140.0,4
1145.0,1
1150.0,2
1155.0,3
1160.0,1
1165.0,1
1170.0,2
1175.0,2
1180.0,2
1185.0,2
1190.0,2
1195.0,2
1200.0,2
1205.0,1
1210.0,1
1215.0,2
1220.0,2
1225.0,2
1230.0,1
1235.0,2
1240.0,1
1245.0,1
1250.0,2
1255.0,2
1260.0,2
1265.0,2
1270.0,2
1275.0,2
1280.0,2
1285.0,3
1290.0,3
1295.0,3
1300.0,2
1305.0,2
1310.0,2
1315.0,1
1320.0,1
1325.0,1
1330.0,1
1335.0,1
1340.0,1
1345.0,2
1350.0,1
1355.0,1
1360.0,1
1365.0,1
1370.0,1
1375.0,1
1380.0,1
1385.0,1
1390.0,1
1395.0,2
1400.0,2
1405.0,1
1410.0,1
1415.0,1
1420.0,2
1425.0,2
1430.0,1
1435.0,2
1440.0,2
1445.0,2
1450.0,1
1455.0,1
1460.0,1
1465.0,1
1470.0,1
1475.0,1
1480.0,1
1485.0,1
1490.0,1
1495.0,1
1500.0,1
1505.0,2
1510.0,2
1515.0,2
1520.0,2
1525.0,2
1530.0,1
1535.0,1
1540.0,1
1545.0,2
1550.0,2
1555.0,2
