time_s,users_below_threshold
0.0,1
10.0,0
20.0,0
30.0,3
40.0,4
50.0,4
60.0,2
70.0,3
80.0,2
90.0,1
100.0,1
110.0,2
120.0,1
130.0,2
140.0,4
150.0,3
160.0,2
170.0,1
180.0,3
190.0,4
200.0,2
210.0,4
220.0,1
230.0,3
240.0,2
250.0,1
260.0,1
270.0,1
280.0,1
290.0,1
300.0,1
310.0,1
320.0,1
330.0,2
340.0,1
350.0,1
360.0,1
370.0,1
380.0,1
390.0,1
400.0,2
410.0,1
420.0,1
430.0,1
440.0,1
450.0,2
460.0,2
470.0,2
480.0,1
490.0,1
500.0,1
510.0,2
520.0,5
530.0,4
540.0,2
550.0,1
560.0,1
570.0,2
580.0,1
590.0,1
600.0,5
