time_s,users_below_threshold
0.0,4
5.0,3
10.0,2
15.0,2
20.0,1
25.0,1
30.0,1
35.0,1
40.0,1
45.0,1
50.0,1
55.0,2
60.0,2
65.0,5
70.0,4
75.0,2
80.0,2
85.0,2
90.0,2
95.0,2
100.0,2
105.0,3
110.0,2
115.0,2
120.0,3
125.0,3
130.0,2
135.0,3
140.0,3
145.0,2
150.0,3
155.0,2
160.0,2
165.0,2
170.0,2
175.0,2
180.0,5
185.0,5
190.0,5
195.0,6
200.0,6
205.0,6
210.0,6
215.0,6
220.0,6
225.0,6
230.0,6
235.0,6
240.0,4
245.0,4
250.0,4
255.0,4
260.0,4
265.0,4
270.0,4
275.0,4
280.0,4
285.0,4
290.0,4
295.0,4
300.0,7
305.0,7
310.0,7
315.0,7
320.0,7
325.0,7
330.0,7
335.0,7
340.0,7
345.0,6
350.0,7
355.0,6
360.0,0
365.0,0
370.0,1
375.0,0
380.0,0
385.0,0
390.0,0
395.0,0
400.0,0
405.0,0
410.0,0
415.0,0
420.0,3
425.0,3
430.0,4
435.0,4
440.0,4
445.0,4
450.0,4
455.0,3
460.0,3
465.0,3
470.0,3
475.0,2
480.0,0
485.0,1
490.0,0
495.0,0
500.0,0
505.0,0
510.0,0
515.0,0
520.0,0
525.0,0
530.0,0
535.0,0
540.0,0
545.0,0
550.0,0
555.0,0
560.0,0
565.0,0
570.0,0
575.0,0
580.0,0
585.0,0
590.0,0
595.0,0
600.0,0
605.0,0
610.0,0
615.0,0
620.0,0
625.0,0
630.0,0
635.0,0
640.0,0
645.0,0
650.0,0
655.0,0
660.0,2
665.0,2
670.0,2
675.0,1
680.0,1
685.0,2
690.0,1
695.0,1
700.0,2
705.0,2
710.0,0
715.0,0
720.0,0
725.0,0
730.0,0
735.0,0
740.0,0
745.0,1
750.0,1
755.0,0
760.0,0
765.0,0
770.0,0
775.0,1
780.0,1
785.0,1
790.0,1
795.0,1
800.0,1
805.0,3
810.0,1
815.0,1
820.0,1
825.0,1
830.0,1
835.0,1
840.0,0
845.0,0
850.0,0
855.0,0
860.0,2
865.0,2
870.0,0
875.0,0
880.0,0
885.0,0
890.0,0
895.0,0
900.0,2
905.0,2
910.0,2
915.0,4
920.0,2
925.0,2
930.0,3
935.0,3
940.0,4
945.0,3
950.0,4
955.0,2
960.0,1
965.0,2
970.0,2
975.0,2
980.0,2
985.0,3
990.0,3
995.0,2
1000.0,2
1005.0,2
1010.0,3
1015.0,3
1020.0,5
1025.0,5
1030.0,6
1035.0,6
1040.0,6
1045.0,6
1050.0,6
1055.0,6
1060.0,6
1065.0,7
1070.0,7
1075.0,7
1080.0,4
1085.0,4
1090.0,4
1095.0,3
1100.0,3
1105.0,2
1110.0,2
1115.0,2
1120.0,2
1125.0,2
1130.0,4
1135.0,5
1140.0,2
1145.0,0
1150.0,0
1155.0,0
1160.0,0
1165.0,0
1170.0,0
1175.0,0
1180.0,0
1185.0,0
1190.0,0
1195.0,0
1200.0,2
1205.0,3
1210.0,4
1215.0,3
1220.0,4
1225.0,3
1230.0,3
1235.0,3
1240.0,2
1245.0,3
1250.0,5
1255.0,5
1260.0,4
1265.0,4
1270.0,4
1275.0,4
1280.0,4
1285.0,4
1290.0,4
1295.0,4
1300.0,3
1305.0,3
1310.0,4
1315.0,4
1320.0,1
1325.0,2
1330.0,0
1335.0,0
1340.0,0
1345.0,0
1350.0,0
1355.0,0
1360.0,1
1365.0,0
1370.0,0
1375.0,0
